TRACTCE,Pct_20+Complex,Pct_NoVehicle,Pct_Rent35%orMore,Pct_AccessToComputer,Pct_AccessToBroadband,Data type
7404,0.04953998584571833,0.3959016393442623,0.36605890603085556,0.8270491803278689,0.6262295081967213,Test data
7403,0.021949078138718173,0.5103448275862069,0.4924406047516199,0.8689655172413793,0.6827586206896552,Training data
7409,0.04153940134392181,0.4662420382165605,0.5342222222222223,0.8643312101910828,0.7229299363057324,Training data
7304,0.04147764095917045,0.48875562218890556,0.5972359328726555,0.863568215892054,0.7076461769115442,Training data
9804,0.017825311942959002,0.4259077526987242,0.5193452380952381,0.8900883218842002,0.7399411187438666,Training data
9803,0.12008281573498965,0.48697711128650356,0.4761450381679389,0.9108129439621152,0.7726913970007893,Training data
9807,0.046097111247695145,0.38185808339429406,0.5366705471478463,0.8551572787125091,0.6978785662033651,Training data
9700,0.11306340718105425,0.3970201577563541,0.5592105263157895,0.8755477651183172,0.6818580192813322,Training data
9801,0.27429805615550756,0.5349112426035503,0.3812316715542522,0.8248520710059172,0.5242603550295858,Test data
9802,0.034722222222222224,0.5907230559345157,0.4543795620437956,0.7585266030013642,0.6384720327421555,Training data
9810,0.10047095761381476,0.47980997624703087,0.3688736027515047,0.8463974663499604,0.6935866983372921,Training data
9811,0.20485945688423057,0.5093099671412924,0.5240572171651495,0.8138006571741512,0.5498357064622125,Training data
10900,0.2076002814919071,0.5081081081081081,0.5511038430089943,0.8625482625482626,0.6826254826254826,Training data
7803,0.16520129569643682,0.33002207505518766,0.479646017699115,0.8703090507726269,0.7615894039735099,Training data
